NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
IWANAGA_CARCINOGENESIS_BY_KRAS_PTEN_UP	IWANAGA_CARCINOGENESIS_BY_KRAS_PTEN_UP		157	0.4545132	1.240648	0.042	0.2765049	1.0	3888	tags=32%, list=25%, signal=43%	
REACTOME_INTERLEUKIN_6_FAMILY_SIGNALING	REACTOME_INTERLEUKIN_6_FAMILY_SIGNALING		16	0.5418607	1.2405488	0.20223464	0.27661046	1.0	4790	tags=63%, list=31%, signal=91%	
SHEDDEN_LUNG_CANCER_GOOD_SURVIVAL_A12	SHEDDEN_LUNG_CANCER_GOOD_SURVIVAL_A12		210	0.4538584	1.240432	0.019	0.27673864	1.0	2586	tags=22%, list=17%, signal=26%	
KEGG_MEDICUS_REFERENCE_TNF_JNK_SIGNALING_PATHWAY	KEGG_MEDICUS_REFERENCE_TNF_JNK_SIGNALING_PATHWAY		13	0.56721383	1.2403661	0.19768786	0.27677876	1.0	5533	tags=77%, list=36%, signal=120%	
BURTON_ADIPOGENESIS_6	BURTON_ADIPOGENESIS_6		166	0.45802888	1.2402331	0.021	0.27693486	1.0	3480	tags=31%, list=23%, signal=39%	
GROSS_HYPOXIA_VIA_ELK3_ONLY_DN	GROSS_HYPOXIA_VIA_ELK3_ONLY_DN		41	0.48788652	1.2402123	0.16374871	0.2768929	1.0	3891	tags=39%, list=25%, signal=52%	
KEGG_MEDICUS_REFERENCE_EGF_EGFR_RAS_PI3K_SIGNALING_PATHWAY	KEGG_MEDICUS_REFERENCE_EGF_EGFR_RAS_PI3K_SIGNALING_PATHWAY		15	0.54770774	1.2401339	0.2041049	0.27696243	1.0	3159	tags=40%, list=21%, signal=50%	
REACTOME_A_TETRASACCHARIDE_LINKER_SEQUENCE_IS_REQUIRED_FOR_GAG_SYNTHESIS	REACTOME_A_TETRASACCHARIDE_LINKER_SEQUENCE_IS_REQUIRED_FOR_GAG_SYNTHESIS		23	0.51172984	1.2398742	0.18702702	0.27734092	1.0	3442	tags=35%, list=23%, signal=45%	
REACTOME_HYDROLYSIS_OF_LPC	REACTOME_HYDROLYSIS_OF_LPC		8	0.61511105	1.2398374	0.18227848	0.2773293	1.0	323	tags=13%, list=2%, signal=13%	
NIKOLSKY_OVERCONNECTED_IN_BREAST_CANCER	NIKOLSKY_OVERCONNECTED_IN_BREAST_CANCER		19	0.5303282	1.2398183	0.1934066	0.27728522	1.0	5077	tags=47%, list=33%, signal=71%	
REACTOME_MECP2_REGULATES_TRANSCRIPTION_OF_NEURONAL_LIGANDS	REACTOME_MECP2_REGULATES_TRANSCRIPTION_OF_NEURONAL_LIGANDS		7	0.643299	1.2397276	0.20052083	0.27736372	1.0	1904	tags=29%, list=12%, signal=33%	
PID_TELOMERASE_PATHWAY	PID_TELOMERASE_PATHWAY		63	0.47310033	1.2397212	0.11368209	0.27729547	1.0	5190	tags=51%, list=34%, signal=77%	
KEGG_MEDICUS_REFERENCE_EXTRINSIC_APOPTOTIC_PATHWAY	KEGG_MEDICUS_REFERENCE_EXTRINSIC_APOPTOTIC_PATHWAY		9	0.60256726	1.2396691	0.21428572	0.27730322	1.0	4877	tags=78%, list=32%, signal=114%	
REACTOME_CASPASE_MEDIATED_CLEAVAGE_OF_CYTOSKELETAL_PROTEINS	REACTOME_CASPASE_MEDIATED_CLEAVAGE_OF_CYTOSKELETAL_PROTEINS		12	0.5762074	1.2394353	0.19486581	0.2776283	1.0	5841	tags=67%, list=38%, signal=108%	
KEGG_MEDICUS_REFERENCE_CA2_ENTRY_STORE_OPERATED_CA2_CHANNEL	KEGG_MEDICUS_REFERENCE_CA2_ENTRY_STORE_OPERATED_CA2_CHANNEL		5	0.68454087	1.239334	0.16486487	0.27772373	1.0	4828	tags=100%, list=32%, signal=146%	
